activity_code,activity_text,automation_score,augmentation_score,ai_exposure_score
060399,Research/homework n.e.c.*,0.35,0.8,0.598
060401,"Administrative activities: class for degree, certification, or licensure",0.05,0.05,0.05
060402,Administrative activities: class for personal interest,0.05,0.05,0.05
060403,Waiting associated w/admin. activities (education),0.05,0.05,0.05
060499,"Administrative for education, n.e.c.*",0.05,0.05,0.05
069999,"Education, n.e.c.*",0.05,0.05,0.05
070101,Grocery shopping,0.25,0.35,0.305
070102,Purchasing gas,0.25,0.35,0.305
070103,Purchasing food (not groceries),0.25,0.35,0.305
070104,"Shopping, except groceries, food and gas",0.25,0.35,0.305
070105,Waiting associated with shopping,0.25,0.35,0.305
070199,"Shopping, n.e.c.*",0.25,0.35,0.305
070201,Comparison shopping,0.25,0.35,0.305
070299,"Researching purchases, n.e.c.*",0.25,0.35,0.305
070301,Security procedures rel. to consumer purchases,0.25,0.35,0.305
070399,"Security procedures rel. to consumer purchases, n.e.c.*",0.25,0.35,0.305
079999,"Consumer purchases, n.e.c.*",0.05,0.05,0.05
080101,Using paid childcare services,0.25,0.35,0.305
080102,Waiting associated w/purchasing childcare svcs,0.25,0.35,0.305
080199,"Using paid childcare services, n.e.c.*",0.25,0.35,0.305
080201,Banking,0.6,0.65,0.628
080202,Using other financial services,0.6,0.65,0.628
080203,Waiting associated w/banking/financial services,0.6,0.65,0.628
080299,"Using financial services and banking, n.e.c.*",0.6,0.65,0.628
080301,Using legal services,0.25,0.35,0.305
080302,Waiting associated with legal services,0.25,0.35,0.305
080399,"Using legal services, n.e.c.*",0.25,0.35,0.305
080401,Using health and care services outside the home,0.6,0.65,0.628
080402,Using in-home health and care services,0.6,0.65,0.628
080403,Waiting associated with medical services,0.6,0.65,0.628
080499,"Using medical services, n.e.c.*",0.6,0.65,0.628
080501,Using personal care services,0.25,0.35,0.305
080502,Waiting associated w/personal care services,0.25,0.35,0.305
080599,"Using personal care services, n.e.c.*",0.25,0.35,0.305
080601,Activities rel. to purchasing/selling real estate,0.25,0.35,0.305
080602,Waiting associated w/purchasing/selling real estate,0.25,0.35,0.305
080699,"Using real estate services, n.e.c.*",0.25,0.35,0.305
080701,Using veterinary services,0.25,0.35,0.305
080702,Waiting associated with veterinary services,0.25,0.35,0.305
080799,"Using veterinary services, n.e.c.*",0.25,0.35,0.305
080801,Security procedures rel. to professional/personal svcs.,0.25,0.35,0.305
080899,Security procedures rel. to professional/personal svcs n.e.c.*,0.25,0.35,0.305
089999,"Professional and personal services, n.e.c.*",0.05,0.05,0.05
090101,Using interior cleaning services,0.25,0.35,0.305
090102,Using meal preparation services,0.25,0.35,0.305
090103,Using clothing repair and cleaning services,0.25,0.35,0.305
090104,Waiting associated with using household services,0.25,0.35,0.305
090199,"Using household services, n.e.c.*",0.25,0.35,0.305
090201,Using home maint/repair/décor/construction svcs,0.25,0.35,0.305
090202,Waiting associated w/ home main/repair/décor/constr,0.25,0.35,0.305
090299,"Using home maint/repair/décor/constr services, n.e.c.*",0.25,0.35,0.305
090301,Using pet services,0.25,0.35,0.305
090302,Waiting associated with pet services,0.25,0.35,0.305
090399,"Using pet services, n.e.c.*",0.25,0.35,0.305
090401,Using lawn and garden services,0.25,0.35,0.305
090402,Waiting associated with using lawn & garden services,0.25,0.35,0.305
090499,"Using lawn and garden services, n.e.c.*",0.25,0.35,0.305
090501,Using vehicle maintenance or repair services,0.25,0.35,0.305
090502,Waiting associated with vehicle main. or repair svcs,0.25,0.35,0.305
090599,"Using vehicle maint. & repair svcs, n.e.c.*",0.25,0.35,0.305
099999,"Using household services, n.e.c.*",0.05,0.05,0.05
100101,Using police and fire services,0.6,0.65,0.628
100102,Using social services,0.6,0.65,0.628
100103,"Obtaining licenses & paying fines, fees, taxes",0.6,0.65,0.628
100199,"Using government services, n.e.c.*",0.6,0.65,0.628
100201,Civic obligations & participation,0.25,0.35,0.305
100299,"Civic obligations & participation, n.e.c.*",0.25,0.35,0.305
100381,Waiting associated w/ using government services,0.25,0.35,0.305
100383,Waiting associated w/civic obligations & participation,0.25,0.35,0.305
100399,"Waiting assoc. w/govt svcs or civic obligations, n.e.c.*",0.25,0.35,0.305
100401,Security procedures rel. to govt svcs/civic obligations,0.25,0.35,0.305
100499,"Security procedures rel. to govt svcs/civic obligations, n.e.c.*",0.25,0.35,0.305
109999,"Government services, n.e.c.*",0.05,0.05,0.05
