activity_code,activity_text,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,participation_rate_unweighted_pp_post,participation_rate_unweighted_pp_pre,participation_rate_weighted_pp_post,participation_rate_weighted_pp_pre,positive_respondents_post,positive_respondents_pre,respondents_total_post,respondents_total_pre,weighted_participation_change_pp,unweighted_participation_change_pp
020103,"Sewing, repairing, & maintaining textiles",0.05,-0.4785288964455661,0.05,0.05,1.3423799991371999,1.10089799732014,1.081699978359545,0.8831751015928819,108.5,102.2,8108.5,9294.8,0.19852487676666297,0.2414820018170598
020104,"Storing interior hh items, inc. food",0.05,-0.4785288964455661,0.05,0.05,7.49193893482277,6.9009669405667555,6.2778550101853,6.050203549044339,607.0,641.2,8108.5,9294.8,0.2276514611409617,0.5909719942560141
020199,"Housework, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.134233118487525,0.13840818817152,0.0928469738236,0.09964365344583201,10.5,12.8,8108.5,9294.8,-0.006796679622232016,-0.004175069683995003
020201,Food and drink preparation,0.05,-0.4785288964455661,0.05,0.05,62.20295835173275,59.02186008358042,59.04245751788551,55.86460640494427,5037.5,5476.8,8108.5,9294.8,3.177851112941241,3.1810982681523257
020202,Food presentation,0.05,-0.4785288964455661,0.05,0.05,1.673294168837425,1.8575319621492419,1.57175318127614,1.933684963256254,136.5,173.6,8108.5,9294.8,-0.361931781980114,-0.1842377933118169
020203,Kitchen and food clean-up,0.05,-0.4785288964455661,0.05,0.05,25.267322152711387,24.804793780908277,22.45365748226351,22.968793509918207,2048.5,2302.6,8108.5,9294.8,-0.5151360276546981,0.4625283718031099
020299,"Food & drink prep, presentation, & clean-up, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.011698642957415,0.008117366134028001,0.011663896763285001,0.010270591660544448,1.0,0.8,8108.5,9294.8,0.0013933051027405531,0.0035812768233869988
020301,"Interior arrangement, decoration, & repairs",0.05,-0.4785288964455661,0.05,0.05,2.21119835168881,2.219209079993818,1.8057712513402202,1.869242567838072,179.5,206.0,8108.5,9294.8,-0.06347131649785176,-0.00801072830500793
020302,Building and repairing furniture,0.05,-0.4785288964455661,0.05,0.05,0.24354350537532998,0.26733434648867005,0.201242793936665,0.24759319063911,19.5,24.8,8108.5,9294.8,-0.04635039670244501,-0.023790841113340067
020303,Heating and cooling,0.05,-0.4785288964455661,0.05,0.05,0.7245966157194199,0.819391783076656,0.5572255808178149,0.724278221813892,58.5,76.0,8108.5,9294.8,-0.16705264099607708,-0.09479516735723614
020399,"Interior maintenance, repair, & decoration, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.029246607393540004,0.04693608206999,0.026721761918315,0.040254324082046,2.5,4.4,8108.5,9294.8,-0.013532562163731002,-0.017689474676449993
020401,Exterior cleaning,0.05,-0.4785288964455661,0.05,0.05,2.025477627722055,2.199370090865202,1.55746279512514,1.876062506431278,165.0,204.2,8108.5,9294.8,-0.31859971130613784,-0.17389246314314688
020402,"Exterior repair, improvements, & decoration",0.05,-0.4785288964455661,0.05,0.05,1.0531982097613448,0.9906096445427061,0.87893276368538,0.8539993503443821,85.5,92.6,8108.5,9294.8,0.024933413340997856,0.06258856521863876
020499,"Exterior maintenance, repair & decoration, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.07287359125853,0.07309752610418,0.06366075368315499,0.05779684416353,6.0,6.8,8108.5,9294.8,0.005863909519624989,-0.00022393484564998956
020501,"Lawn, garden, and houseplant care",0.05,-0.4785288964455661,0.05,0.05,11.914034362677636,10.375239832831578,9.21559855557355,9.022273738787685,965.0,960.8,8108.5,9294.8,0.19332481678586433,1.538794529846058
020502,"Ponds, pools, and hot tubs",0.05,-0.4785288964455661,0.05,0.05,0.42237531662912997,0.315545935347056,0.290957852677355,0.31237911488813597,34.5,29.6,8108.5,9294.8,-0.021421262210780945,0.10682938128207398
020599,"Lawn and garden, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.031257907529065,0.012065025189984,0.023150109923679836,0.013317547348632,2.5,1.2,8108.5,9294.8,0.009832562575047835,0.019192882339081
020681,Care for animals and pets (not veterinary care),0.05,-0.4785288964455661,0.05,0.05,21.708011177001545,18.320590223957453,20.219109124175965,18.48330220719229,1761.5,1694.0,8108.5,9294.8,1.7358069169836767,3.387420953044092
020699,"Pet and animal care, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.09243285583018501,0.133896109210524,0.088283441282895,0.12365145920814599,7.5,12.2,8108.5,9294.8,-0.03536801792525099,-0.04146325338033899
020701,Vehicle repair and maintenance (by self),0.05,-0.4785288964455661,0.05,0.05,2.2912621311830748,2.489320157175306,1.977468106675875,2.2186303257785616,186.0,231.0,8108.5,9294.8,-0.24116221910268654,-0.1980580259922311
020799,"Vehicles, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.044297417243500004,0.037595242910296,0.040030898989415004,0.04204869514296537,3.5,3.6,8108.5,9294.8,-0.002017796153550369,0.006702174333204004
020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",0.05,-0.4785288964455661,0.05,0.05,1.489468048411295,1.55802580686422,1.22959180055288,1.313814359987836,120.5,144.8,8108.5,9294.8,-0.08422255943495593,-0.06855775845292511
020899,"Appliances and tools, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.01236907633592,0.085773612533702,0.01768366129051,0.098541623852132,1.0,8.4,8108.5,9294.8,-0.080857962561622,-0.073404536197782
020901,Financial management,0.705,3.274522919391786,0.65,0.75,3.2605585401069845,3.50197941343941,2.55012408229514,3.0919017268038482,264.5,325.4,8108.5,9294.8,-0.5417776445087084,-0.24142087333242568
020902,Household & personal organization and planning,0.628,2.833324461652128,0.6,0.65,15.678809905853761,15.946335613095437,14.17443176844473,15.11650844296887,1267.5,1484.6,8108.5,9294.8,-0.9420766745241398,-0.2675257072416759
020903,HH & personal mail & messages (except e-mail),0.628,2.833324461652128,0.6,0.65,4.471202575342826,5.247766114029388,3.590941762870985,4.61820585597956,363.0,490.0,8108.5,9294.8,-1.0272640931085748,-0.7765635386865624
020904,HH & personal e-mail and messages,0.628,2.833324461652128,0.6,0.65,5.6448072639038696,5.294716818771128,4.55276049946049,4.927759452780895,456.5,491.2,8108.5,9294.8,-0.37499895332040545,0.3500904451327411
020905,Home security,0.628,2.833324461652128,0.6,0.65,1.13844087735581,1.321477288467682,0.877492020738845,1.22534788972556,92.5,123.2,8108.5,9294.8,-0.34785586898671506,-0.18303641111187208
