activity_code,activity_text,period,participation_rate_weighted_pp,participation_rate_unweighted_pp,positive_respondents,respondents_total,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,post_2023plus,ai_exposure_x_post,ai_exposure_z_x_post
020681,Care for animals and pets (not veterinary care),pre,18.48330220719229,18.320590223957453,1694.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020699,"Pet and animal care, n.e.c.*",post,0.088283441282895,0.09243285583018501,7.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020699,"Pet and animal care, n.e.c.*",pre,0.12365145920814599,0.133896109210524,12.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020701,Vehicle repair and maintenance (by self),post,1.977468106675875,2.2912621311830748,186.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020701,Vehicle repair and maintenance (by self),pre,2.2186303257785616,2.489320157175306,231.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020799,"Vehicles, n.e.c.*",post,0.040030898989415004,0.044297417243500004,3.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020799,"Vehicles, n.e.c.*",pre,0.04204869514296537,0.037595242910296,3.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",post,1.22959180055288,1.489468048411295,120.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",pre,1.313814359987836,1.55802580686422,144.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020899,"Appliances and tools, n.e.c.*",post,0.01768366129051,0.01236907633592,1.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020899,"Appliances and tools, n.e.c.*",pre,0.098541623852132,0.085773612533702,8.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020901,Financial management,post,2.55012408229514,3.2605585401069845,264.5,8108.5,0.705,3.274522919391786,0.65,0.75,1.0,0.705,3.274522919391786
020901,Financial management,pre,3.0919017268038482,3.50197941343941,325.4,9294.8,0.705,3.274522919391786,0.65,0.75,0.0,0.0,0.0
020902,Household & personal organization and planning,post,14.17443176844473,15.678809905853761,1267.5,8108.5,0.628,2.833324461652128,0.6,0.65,1.0,0.628,2.833324461652128
020902,Household & personal organization and planning,pre,15.11650844296887,15.946335613095437,1484.6,9294.8,0.628,2.833324461652128,0.6,0.65,0.0,0.0,0.0
020903,HH & personal mail & messages (except e-mail),post,3.590941762870985,4.471202575342826,363.0,8108.5,0.628,2.833324461652128,0.6,0.65,1.0,0.628,2.833324461652128
020903,HH & personal mail & messages (except e-mail),pre,4.61820585597956,5.247766114029388,490.0,9294.8,0.628,2.833324461652128,0.6,0.65,0.0,0.0,0.0
020904,HH & personal e-mail and messages,post,4.55276049946049,5.6448072639038696,456.5,8108.5,0.628,2.833324461652128,0.6,0.65,1.0,0.628,2.833324461652128
