year,activity_code,activity_text,positive_respondents,respondents_total,positive_share_unweighted,weighted_positive_population,weighted_total_population,positive_share_weighted,weighted_mean_minutes_all_respondents,weighted_mean_minutes_among_positive,automation_score,augmentation_score,ai_exposure_score
2003,020203,Kitchen and food clean-up,5125,20720,0.24734555984555984,18619777464.557175,82231180900.71338,0.22643208160951564,7.621505905039713,33.6591257337071,0.05,0.05,0.05
2003,020299,"Food & drink prep, presentation, & clean-up, n.e.c.*",4,20720,0.00019305019305019305,17595737.314862,82231180900.71338,0.00021397889610885246,0.006554931716072982,30.63354300481317,0.05,0.05,0.05
2003,020301,"Interior arrangement, decoration, & repairs",615,20720,0.02968146718146718,2208349751.561263,82231180900.71338,0.026855381710103897,4.431719339417883,165.02164770015244,0.05,0.05,0.05
2003,020302,Building and repairing furniture,86,20720,0.0041505791505791504,308119035.060909,82231180900.71338,0.0037469854097429843,0.5452133152372715,145.5071892779719,0.05,0.05,0.05
2003,020303,Heating and cooling,197,20720,0.009507722007722008,730967617.202959,82231180900.71338,0.008889178158410924,0.575871427415336,64.78342734873048,0.05,0.05,0.05
2003,020399,"Interior maintenance, repair, & decoration, n.e.c.*",18,20720,0.0008687258687258687,57211991.624527,82231180900.71338,0.0006957457134612385,0.10410809777040769,149.63527012259166,0.05,0.05,0.05
2003,020401,Exterior cleaning,494,20720,0.02384169884169884,1761059374.864475,82231180900.71338,0.021415956278078907,1.8626532521724306,86.97502124054195,0.05,0.05,0.05
2003,020402,"Exterior repair, improvements, & decoration",269,20720,0.012982625482625482,950518325.972684,82231180900.71338,0.0115590985750326,2.180622150134401,188.64984462062614,0.05,0.05,0.05
2003,020499,"Exterior maintenance, repair & decoration, n.e.c.*",19,20720,0.000916988416988417,62817130.43084799,82231180900.71338,0.000763908893716289,0.10070539344223262,131.82906269400493,0.05,0.05,0.05
2003,020501,"Lawn, garden, and houseplant care",2237,20720,0.10796332046332047,8170464163.716012,82231180900.71338,0.09935968417601955,11.528271112831018,116.02564167180964,0.05,0.05,0.05
2003,020502,"Ponds, pools, and hot tubs",69,20720,0.00333011583011583,303339876.44253796,82231180900.71338,0.0036888668400468804,0.28300195231623093,76.71785526219601,0.05,0.05,0.05
2003,020599,"Lawn and garden, n.e.c.*",6,20720,0.00028957528957528956,22086240.329438,82231180900.71338,0.0002685871720133159,0.020662490788306738,76.93029653434952,0.05,0.05,0.05
2003,020681,Care for animals and pets (not veterinary care),2758,20720,0.1331081081081081,10811862634.324549,82231180900.71338,0.1314813008386549,4.864579262872459,36.99825931021132,0.05,0.05,0.05
2003,020699,"Pet and animal care, n.e.c.*",5,20720,0.00024131274131274132,30791364.783655,82231180900.71338,0.00037444877291538294,0.042951141291451396,114.70498609741044,0.05,0.05,0.05
2003,020701,Vehicle repair and maintenance (by self),683,20720,0.03296332046332046,2666872794.647807,82231180900.71338,0.03243140576891158,2.917501394616529,89.95914069852677,0.05,0.05,0.05
2003,020799,"Vehicles, n.e.c.*",41,20720,0.0019787644787644786,204255684.72822702,82231180900.71338,0.0024839201199706356,0.0380966700237129,15.337316895747545,0.05,0.05,0.05
