activity_code,activity_text,year,weighted_mean_minutes,sample_n_positive_minutes,weighted_engaged_population,respondents_total,automation_score,automation_score_z,augmentation_score,ai_exposure_score,post_2023plus,automation_x_post,automation_z_x_post
030499,"Caring for household adults, n.e.c.*",2017,0.08998943147804046,3,47097129.757148,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030501,Helping hh adults,2017,0.038797572251067516,16,158390332.688908,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030502,Organization & planning for hh adults,2017,0.14148515056363473,24,304623199.114817,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030503,Picking up/dropping off hh adult,2017,0.19351244379668428,181,2140664534.8522837,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030504,Waiting associated with helping hh adults,2017,0.3619818426044239,134,1586446093.1173792,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030599,"Helping household adults, n.e.c.*",2017,0.03814818390492118,6,44527301.172602,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
039999,"Caring for & helping hh members, n.e.c.*",2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040101,Physical care for nonhh children,2017,0.35900455152032335,88,778535610.527642,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040102,Reading to/with nonhh children,2017,0.05075504779647871,13,111891747.02251402,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040103,"Playing with nonhh children, not sports",2017,1.1632314406533282,110,976483131.1948632,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040104,Arts and crafts with nonhh children,2017,0.03871368505487982,3,69605474.24935,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040105,Playing sports with nonhh children,2017,0.0015516933889369244,2,3246504.481217,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040108,Organization & planning for nonhh children,2017,0.06560923847402823,16,135429051.801545,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040109,Looking after nonhh children (as primary activity),2017,0.9173989335880024,66,541093440.448826,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040110,Attending nonhh children's events,2017,0.19512784773985015,22,183272279.478937,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040111,Waiting for/with nonhh children,2017,0.07861447096440488,28,316134510.06622195,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040112,Dropping off/picking up nonhh children,2017,0.15388954863585552,159,1461971863.286223,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040186,Talking with/listening to nonhh children,2017,0.2504385373676658,48,385441742.689798,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040199,"Caring for and helping nonhh children, n.e.c.*",2017,0.027391233831954975,6,28098397.645405002,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040201,Homework (nonhh children),2017,0.0588668835738744,12,124426005.82933399,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040202,Meetings and school conferences (nonhh children),2017,0.0022419979269085225,1,1767620.246266,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040203,Home schooling of nonhh children,2017,0.03534383747139002,1,22292431.922561,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040204,Waiting associated with nonhh children's education,2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040299,"Activities related to nonhh child's educ., n.e.c.*",2017,0.017839037995299272,1,9644248.418439,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040301,Providing medical care to nonhh children,2017,0.0022928478872824617,4,23482795.990331,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040302,Obtaining medical care for nonhh children,2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040303,Waiting associated with nonhh children's health,2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040399,"Activities related to nonhh child's health, n.e.c.*",2017,0.002563798936038213,1,3234131.737451,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040401,Physical care for nonhh adults,2017,0.5203164924928156,55,445690452.89634293,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040402,Looking after nonhh adult (as a primary activity),2017,0.010346108121636973,10,43993374.26504099,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040403,Providing medical care to nonhh adult,2017,0.035681729863460104,20,113971195.594077,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040404,Obtaining medical and care services for nonhh adult,2017,0.09058597754975369,9,113751684.37760402,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040405,Waiting associated with caring for nonhh adults,2017,0.11588765258751908,13,120202669.75281902,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040499,"Caring for nonhh adults, n.e.c.*",2017,0.07483633935655391,6,47596285.322179005,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040501,"Housework, cooking, & shopping assistance for nonhh adults",2017,0.5693817085459659,84,619229887.3977028,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040502,House & lawn maintenance & repair assistance for nonhh adults,2017,0.738466894323948,63,490590360.59927094,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040503,Animal & pet care assistance for nonhh adults,2017,0.10402539783693761,34,353478229.382015,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040504,Vehicle & appliance maintenance/repair assistance for nonhh adults,2017,0.1735039993307578,28,232795964.283517,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040505,Financial management assistance for nonhh adults,2017,0.046249660209541264,13,88694022.244596,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040506,Household management & paperwork assistance for nonhh adults,2017,0.5665796329852096,75,662949377.000258,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040507,Picking up/dropping off nonhh adult,2017,0.3622053221505516,430,3624659653.6426177,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040508,Waiting associated with helping nonhh adults,2017,0.37130594499571307,150,1255958255.7635512,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
040599,"Helping nonhh adults, n.e.c.*",2017,0.4758321117189449,45,421639406.00285494,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
049999,"Caring for & helping nonhh members, n.e.c.*",2017,0.022196649339494955,2,14011979.383448001,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050101,"Work, main job",2017,188.92317938607863,3512,39182206140.26213,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050102,"Work, other job(s)",2017,4.7799823885810095,213,2089414415.5718198,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050103,Security procedures related to work,2017,0.0022527759349512256,5,41361014.784121,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050189,"Working, n.e.c.*",2017,0.25435447389317245,71,1093548023.9376,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050201,"Socializing, relaxing, and leisure as part of job",2017,0.07876934093363597,3,17596097.944898,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050202,Eating and drinking as part of job,2017,0.026742101074430025,2,27355905.773195,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050203,Sports and exercise as part of job,2017,0.019230616384581695,2,20733220.968213,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050204,Security procedures as part of job,2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050289,"Work-related activities, n.e.c.*",2017,0.00014883735231043687,1,2816287.17872,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050301,"Income-generating hobbies, crafts, and food",2017,0.26288391495058633,17,159227298.483169,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
